cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
11372460,3.36038E+12,1219862010,08/03/2016,,42,1,42,,,3606,BEAUTY,FRAGRANCES
11372460,3.36038E+12,1296854586,11/14/2016,,42,1,42,,,3606,BEAUTY,FRAGRANCES
11262005,3.38081E+12,1210225214,07/03/2016,,38,2,76,,,43422,BEAUTY,COSMETICS
11262005,3.38081E+12,1216116486,7/25/2016,,38,1,38,,,43422,BEAUTY,COSMETICS
10794724,88300101405,1206223486,06/11/2016,,82,1,82,,,3535,BEAUTY,FRAGRANCES
10794724,88300101405,1375539096,1/28/2017,,86,1,86,,,3535,BEAUTY,FRAGRANCES
11524414,3.36037E+12,1246578711,9/23/2016,,80,1,80,,,3652,BEAUTY,FRAGRANCES
11524414,3.36037E+12,1283687079,11/06/2016,,80,1,80,,,3652,BEAUTY,FRAGRANCES
11289065,24258073333,1209341008,6/29/2016,,65,1,65,,,97891,HOME,SOFT HOME
11289065,24258073333,1188637061,3/14/2016,,52,1,52,,,97891,HOME,SOFT HOME
12386699,20714012786,1327487454,12/02/2016,,30.97,3,92.91,,,75334,BEAUTY,COSMETICS
12386699,20714012786,1231178868,8/25/2016,,37,3,111,,,75334,BEAUTY,COSMETICS
12334463,19585542515,1211470826,7/13/2016,08/01/2016,11.7,1,11.7,1,11.7,3212,CENTER CORE,INTIMATE APPAREL/HOSIERY
12334463,19585542515,1211470846,8/15/2016,,11.7,1,11.7,,,3212,CENTER CORE,INTIMATE APPAREL/HOSIERY
10939388,85447416751,1206718911,06/12/2016,,11.89,1,11.89,,,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
10939388,85447416751,1204392385,5/31/2016,,32,1,32,,,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
11425789,19585228006,1302058941,11/20/2016,12/03/2016,10,1,10,1,10,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
11425789,19585228006,1206281571,06/11/2016,6/18/2016,16.99,1,16.99,1,16.99,3239,CENTER CORE,INTIMATE APPAREL/HOSIERY
15857350,3.60597E+12,1223863302,08/12/2016,,27,1,27,,,35256,BEAUTY,COSMETICS
15857350,3.60597E+12,1183374605,02/12/2016,,27,1,27,,,35256,BEAUTY,COSMETICS
11670622,3.60597E+12,1226530068,8/19/2016,,27,1,27,,,35256,BEAUTY,COSMETICS
11670622,3.60597E+12,1211352920,7/13/2016,,27,2,54,,,35256,BEAUTY,COSMETICS
11588218,20714008000,1208845900,6/24/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
11588218,20714008000,1261744845,10/14/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,1190976868,3/27/2016,,13,3,39,,,75136,BEAUTY,COSMETICS
11454535,20714008000,1210594651,07/06/2016,7/18/2016,13,1,13,1,13,75136,BEAUTY,COSMETICS
15595056,20714008000,CH16800182661,10/08/2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
11454535,20714008000,JH16371224758,7/13/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
11454535,20714008000,1185063630,2/20/2016,,13,1,13,,,75136,BEAUTY,COSMETICS
10586335,20714008000,1262275386,10/16/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,CH16800142087,10/08/2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
10586335,20714008000,1229286984,8/22/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,1259116053,10/08/2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
10449345,20714052645,1205027751,06/03/2016,,22,1,22,,,75181,BEAUTY,COSMETICS
10449345,20714052645,1205987010,06/08/2016,,22,1,22,,,75181,BEAUTY,COSMETICS
11640661,20714052621,1189844581,3/20/2016,,22,1,22,,,75181,BEAUTY,COSMETICS
11640661,20714052621,1247643045,9/24/2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10035207,20714052621,1326045120,12/02/2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10035207,20714052621,1326129669,12/02/2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10681688,27131009986,1187803566,03/10/2016,,58,4,232,,,74853,BEAUTY,COSMETICS
10681688,27131009986,1236834576,09/08/2016,,58,2,116,,,74853,BEAUTY,COSMETICS
10681688,27131009986,1205447994,06/06/2016,,58,1,58,,,74853,BEAUTY,COSMETICS
11523908,27131009986,1186647956,03/03/2016,,58,1,58,,,74853,BEAUTY,COSMETICS
11523908,27131009986,1281894636,11/02/2016,,58,1,58,,,74853,BEAUTY,COSMETICS
10648941,6.02004E+11,1261850853,10/15/2016,,36,2,72,,,78014,BEAUTY,COSMETICS
10648941,6.02004E+11,1187817366,03/09/2016,,36,2,72,,,78014,BEAUTY,COSMETICS
12251710,7.06257E+11,1217421591,7/31/2016,,10.38,4,41.52,,,91054,HOME,SOFT HOME
12251710,7.06257E+11,LM16170461022,7/20/2016,,7.97,4,31.88,,,91054,HOME,SOFT HOME
11562755,3.14589E+12,1368529659,01/11/2017,,30,3,90,,,74598,BEAUTY,COSMETICS
11562755,3.14589E+12,1369430175,01/11/2017,,30,3,90,,,74598,BEAUTY,COSMETICS
13298279,7.33003E+11,1190303583,3/22/2016,,5.64,2,11.28,,,91055,HOME,SOFT HOME
13298279,7.33003E+11,1209372602,6/30/2016,,7.18,1,7.18,,,91055,HOME,SOFT HOME
11742504,7.17334E+11,1208612921,6/23/2016,,26,1,26,,,94266,BEAUTY,COSMETICS
11742504,7.17334E+11,1252586016,10/03/2016,,26,2,52,,,94266,BEAUTY,COSMETICS
10124674,3.14589E+12,DB17610991757,1/16/2017,,26,1,26,,,74710,BEAUTY,FRAGRANCES
10124674,3.14589E+12,1210328804,07/05/2016,,26,2,52,,,74710,BEAUTY,FRAGRANCES
10124674,3.14589E+12,DB17610240515,01/06/2017,1/15/2017,26,1,26,1,26,74710,BEAUTY,FRAGRANCES
13366305,27131208679,1216959468,7/29/2016,,17,1,17,,,75008,BEAUTY,COSMETICS
13366305,27131208679,JT16821135230,12/08/2016,12/22/2016,17,1,17,1,17,75008,BEAUTY,COSMETICS
11216642,20714015459,1198991023,4/30/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
15373315,20714015459,1202466103,5/17/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11278046,20714015459,1302929910,11/22/2016,,20,2,40,,,75339,BEAUTY,COSMETICS
15373315,20714015459,1329828165,12/05/2016,,16.02,1,16.02,,,75339,BEAUTY,COSMETICS
10148477,20714015459,1192566205,04/04/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11216642,20714015459,1336399626,12/09/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11278046,20714015459,1207890910,6/20/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
10148477,20714015459,1251501639,10/01/2016,,20,3,60,,,75339,BEAUTY,COSMETICS
15429829,47596027417,1262995761,10/18/2016,,5.99,10,59.9,,,84580,HOME,SOFT HOME
15429829,47596027417,1264213617,10/19/2016,,5.09,10,50.9,,,84580,HOME,SOFT HOME
11520801,20714163884,1247857113,9/25/2016,,17,1,17,,,75189,BEAUTY,COSMETICS
11520801,20714163884,1332475800,12/06/2016,,13.67,3,41.01,,,75189,BEAUTY,COSMETICS
10854934,20714045159,1262756964,10/16/2016,,21,2,42,,,75340,BEAUTY,COSMETICS
12564571,20714045159,1247778291,9/26/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
10854934,20714045159,1189611729,3/22/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
12564571,20714045159,1184730091,2/17/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
14469186,83623615660,1356952794,12/26/2016,,4.8,1,4.8,,,93507,CENTER CORE,INTIMATE APPAREL/HOSIERY
14469186,83623615660,1357100712,12/26/2016,,4.8,1,4.8,,,93507,CENTER CORE,INTIMATE APPAREL/HOSIERY
10952211,7.06257E+11,1214643009,7/21/2016,,57.99,1,57.99,,,109745,HOME,SOFT HOME
11549970,7.06257E+11,1329093699,12/04/2016,,45.74,1,45.74,,,109745,HOME,SOFT HOME
11549970,7.06257E+11,1235594094,09/05/2016,,49.29,1,49.29,,,109745,HOME,SOFT HOME
10952211,7.06257E+11,1244583675,9/22/2016,,57.99,1,57.99,,,109745,HOME,SOFT HOME
10463748,17626399463,1198572360,4/27/2016,,30,2,60,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1233906192,09/02/2016,,8,2,16,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1207492415,6/17/2016,,15.99,2,31.98,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1182204727,02/05/2016,,15,2,30,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1185466016,2/24/2016,,7.5,2,15,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1332144168,12/05/2016,,28,2,56,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
11892055,17626393706,1202536852,5/17/2016,,16.99,1,16.99,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
